Frame ordinal,Time (s),velocity,acceleration (m/s^2),bar_height,horizontal_displacement,power (kW),force (kN)
183,6.063,-0.46,-0.34,-0.24,4.18,0,9.47
184,6.096,-0.49,-0.55,-0.26,4.09,0,9.26
185,6.13,-0.51,0,-0.28,4,0,9.81
186,6.163,-0.49,0.69,-0.29,3.91,0,10.5
187,6.196,-0.45,0.85,-0.31,3.63,0,10.66
188,6.23,-0.43,0.56,-0.32,3.34,0,10.37
189,6.263,-0.42,0.26,-0.34,3.1,0,10.07
190,6.296,-0.41,0.13,-0.35,2.95,0,9.94
191,6.33,-0.41,0.16,-0.37,2.93,0,9.97
192,6.363,-0.4,0.22,-0.38,2.95,0,10.03
193,6.396,-0.39,0.17,-0.39,3.09,0,9.98
194,6.429,-0.39,0.07,-0.4,3.38,0,9.88
195,6.463,-0.39,0.11,-0.42,3.66,0,9.92
196,6.496,-0.39,0.22,-0.43,3.88,0,10.03
197,6.529,-0.37,0.19,-0.44,4.09,0,10
198,6.563,-0.37,0.01,-0.46,4.23,0,9.82
199,6.596,-0.38,-0.01,-0.47,4.3,0,9.8
200,6.629,-0.38,0.22,-0.48,4.39,0,10.03
201,6.663,-0.36,0.5,-0.49,4.47,0,10.31
202,6.696,-0.34,0.59,-0.5,4.48,0,10.4
203,6.729,-0.32,0.5,-0.52,4.46,0,10.31
204,6.762,-0.31,0.46,-0.53,4.46,0,10.27
205,6.796,-0.29,0.63,-0.54,4.45,0,10.44
206,6.829,-0.27,0.89,-0.55,4.19,0,10.7
207,6.862,-0.23,1.02,-0.55,3.69,0,10.83
208,6.896,-0.2,1.06,-0.56,3.22,0,10.87
209,6.929,-0.16,1.07,-0.57,2.77,0,10.88
210,6.962,-0.12,1.06,-0.57,2.22,0,10.87
211,6.996,-0.09,1.27,-0.57,1.58,0,11.08
212,7.029,-0.05,2.07,-0.58,1,0,11.88
213,7.062,0.03,3.52,-0.58,0.53,0.44,13.33
214,7.096,0.18,5.31,-0.58,0.12,2.7,15.12
215,7.129,0.39,6.69,-0.57,0.25,6.48,16.5
216,7.162,0.65,6.75,-0.55,0.51,10.7,16.56
217,7.195,0.87,5.35,-0.53,0.79,13.18,15.16
218,7.229,1.01,3.45,-0.49,1.03,13.42,13.26
219,7.262,1.09,2.2,-0.46,1.11,13.04,12.01
220,7.295,1.14,2.06,-0.42,1.11,13.47,11.87
221,7.329,1.21,2.45,-0.38,1.27,14.85,12.26
222,7.362,1.31,2.4,-0.34,1.47,16.01,12.21
223,7.395,1.39,1.66,-0.29,1.5,15.9,11.47
224,7.429,1.42,0.61,-0.25,1.41,14.84,10.42
225,7.462,1.43,-0.45,-0.2,1.4,13.37,9.36
226,7.495,1.39,-1.45,-0.15,1.35,11.66,8.36
227,7.529,1.33,-2.26,-0.1,1.3,10.02,7.55
228,7.562,1.24,-2.79,-0.06,1.31,8.69,7.02
229,7.595,1.14,-3.1,-0.02,1.33,7.64,6.71
230,7.628,1.03,-3.35,0.01,1.38,6.67,6.46
231,7.662,0.92,-3.73,0.05,1.57,5.57,6.08
232,7.695,0.79,-4.14,0.08,1.72,4.45,5.67
233,7.728,0.64,-4.18,0.1,1.63,3.58,5.63
234,7.762,0.5,-3.86,0.12,1.45,2.95,5.95
235,7.795,0.38,-3.44,0.13,1.39,2.41,6.37
236,7.828,0.27,-2.94,0.14,1.29,1.85,6.87
237,7.862,0.18,-2.3,0.15,0.94,1.33,7.51
238,7.895,0.11,-1.65,0.15,0.47,0.93,8.16
239,7.928,0.07,-1.24,0.16,0.02,0.62,8.57
240,7.962,0.04,-1.11,0.16,0.41,0.32,8.7
241,7.995,0,-1.12,0.16,0.88,0.01,8.69
242,8.028,-0.04,-0.96,0.16,1.3,0,8.85
243,8.061,-0.07,-0.47,0.16,1.66,0,9.34
244,8.095,-0.07,0.14,0.15,1.94,0,9.95
245,8.128,-0.06,0.44,0.15,2.29,0,10.25
246,8.161,-0.04,0.25,0.15,2.65,0,10.06
247,8.195,-0.03,-0.26,0.15,2.96,0,9.55
248,8.228,-0.05,-0.88,0.15,3.19,0,8.93
249,8.261,-0.09,-1.5,0.15,0,0,8.31
250,8.295,-0.15,-1.99,0.14,0.42,0,7.82
251,8.328,-0.23,-2.12,0.14,0.72,0,7.69
252,8.361,-0.3,-2.01,0.13,0.78,0,7.8
253,8.394,-0.36,-1.99,0.12,0.75,0,7.82
254,8.428,-0.43,-2,0.1,0.86,0,7.81
255,8.461,-0.5,-1.78,0.09,1.04,0,8.03
256,8.494,-0.55,-1.41,0.07,1.13,0,8.4
257,8.528,-0.59,-1.04,0.05,1.15,0,8.77
258,8.561,-0.63,-0.5,0.03,1.22,0,9.31
259,8.594,-0.63,0.2,0.01,1.37,0,10.01
260,8.628,-0.61,0.74,-0.01,1.49,0,10.55
261,8.661,-0.57,0.84,-0.03,1.53,0,10.65
262,8.694,-0.54,0.48,-0.05,1.54,0,10.29
263,8.728,-0.54,0.01,-0.07,1.54,0,9.82
264,8.761,-0.55,-0.25,-0.09,1.53,0,9.56
265,8.794,-0.56,-0.29,-0.1,1.53,0,9.52
266,8.827,-0.57,-0.19,-0.12,1.63,0,9.62
267,8.861,-0.57,0.06,-0.14,1.88,0,9.87
268,8.894,-0.56,0.2,-0.16,2.15,0,10.01
269,8.927,-0.55,-0.15,-0.18,2.3,0,9.66
270,8.961,-0.56,-0.87,-0.2,2.32,0,8.94
271,8.994,-0.62,-1.34,-0.22,2.41,0,8.47
272,9.027,-0.67,-1.25,-0.24,2.62,0,8.56
273,9.061,-0.7,-0.75,-0.26,2.71,0,9.06
274,9.094,-0.72,0,-0.29,2.76,0,9.81
275,9.127,-0.7,0.71,-0.31,2.77,0,10.52
276,9.161,-0.66,0.99,-0.33,2.62,0,10.8
277,9.194,-0.63,0.97,-0.35,2.28,0,10.78
278,9.227,-0.6,0.96,-0.37,2.11,0,10.77
279,9.26,-0.57,0.87,-0.39,2.15,0,10.68
280,9.294,-0.54,0.61,-0.41,2.26,0,10.42
281,9.327,-0.53,0.48,-0.43,2.26,0,10.29
282,9.36,-0.51,0.65,-0.45,2.27,0,10.46
283,9.394,-0.49,0.85,-0.46,2.42,0,10.66
284,9.427,-0.45,0.79,-0.48,2.46,0,10.6
285,9.46,-0.43,0.47,-0.49,2.37,0,10.28
286,9.494,-0.42,0.23,-0.51,2.43,0,10.04
287,9.527,-0.42,0.37,-0.52,2.57,0,10.18
288,9.56,-0.4,0.63,-0.54,2.6,0,10.44
289,9.594,-0.37,0.57,-0.55,2.51,0,10.38
290,9.627,-0.36,0.34,-0.56,2.41,0,10.15
291,9.66,-0.36,0.38,-0.57,2.33,0,10.19
292,9.693,-0.34,0.67,-0.59,2.17,0,10.48
293,9.727,-0.31,1.04,-0.6,1.87,0,10.85
294,9.76,-0.28,1.9,-0.61,1.5,0,11.71
295,9.793,-0.2,3.7,-0.61,1.19,0,13.51
296,9.827,-0.04,5.81,-0.62,0.96,0,15.62
297,9.86,0.21,7,-0.62,0.86,3.47,16.81
298,9.893,0.45,6.92,-0.61,0.84,7.61,16.73
299,9.927,0.67,6.31,-0.59,0.91,10.86,16.12
300,9.96,0.87,5.63,-0.56,1.03,13.5,15.44
301,9.993,1.05,4.72,-0.53,1.26,15.29,14.53
302,10.026,1.19,3.6,-0.49,1.6,15.97,13.41
303,10.06,1.29,2.57,-0.45,2.13,15.97,12.38
304,10.093,1.36,1.74,-0.4,2.84,15.69,11.55
305,10.127,1.41,0.98,-0.36,3.48,15.16,10.79
306,10.16,1.43,0.17,-0.31,4.1,14.26,9.98
307,10.193,1.41,-0.32,-0.26,4.69,13.41,9.49
308,10.226,1.39,-0.09,-0.22,5.02,13.49,9.72
309,10.26,1.4,0.39,-0.17,4.99,14.29,10.2
