Time_(s),L_Position_X,R_Position_X,L_Position_Z,R_Position_Z,Reps,Status,Summary
12.50025,0.1960392,0.21243744,-0.22474155,-0.2226766,4,0,
12.533584,0.19699652,0.21285076,-0.22827351,-0.22644529,4,0,
12.566918,0.19956964,0.21440032,-0.23214354,-0.22998919,4,0,
12.600252,0.20353425,0.21766351,-0.23502775,-0.23344643,4,0,
12.633586,0.20699932,0.22290874,-0.23525278,-0.23644999,4,0,
12.66692,0.21204214,0.22775187,-0.224775,-0.23784871,5,0,
12.700254,0.21506956,0.23266536,-0.19541506,-0.23230496,5,4,
12.733588,0.21115158,0.23364207,-0.16615473,-0.22457479,5,6,
12.766922,0.20351014,0.23138241,-0.12843001,-0.21018665,5,6,
12.800256,0.2028939,0.23552021,-0.08906277,-0.16974494,5,6,
12.83359,0.21462366,0.2295577,-0.06758562,-0.13915682,5,4,
12.866924,0.1962109,0.23008882,-0.007643005,-0.11565151,5,6,
12.900258,0.19907467,0.23132901,0.003451411,-0.0957987,5,6,
12.933592,0.19038342,0.2207528,0.041967634,-0.07232283,5,6,
12.966926,0.17650288,0.21719866,0.07451354,-0.046048503,5,6,
13.00026,0.17632742,0.17670773,0.09009496,0.028663328,5,4,
13.033594,0.17717347,0.17707817,0.10005116,0.044993892,5,4,
13.066928,0.17889248,0.18021955,0.107756615,0.054291885,5,4,
13.100262,0.1794497,0.18273617,0.11245698,0.06084514,5,4,
13.133596,0.18062322,0.18368347,0.11438956,0.06761084,5,4,
13.16693,0.18305044,0.18054067,0.11686701,0.07581827,5,4,
13.200264,0.18567204,0.1801247,0.11924642,0.07986478,5,4,
13.233598,0.18859656,0.17930177,0.11796059,0.083116814,5,4,
13.266932,0.19150773,0.18209061,0.11128136,0.08219519,5,4,
13.300266,0.19053382,0.18634337,0.10795213,0.07931752,5,4,
13.3336,0.195022,0.18463956,0.10266631,0.07319168,5,4,
13.366934,0.19600101,0.17927721,0.10271619,0.060695264,5,4,
13.400268,0.19253346,0.18481943,0.10470766,0.063375175,5,4,
13.433602,0.19067168,0.19051637,0.10453229,0.04858657,5,4,
13.466936,0.18837589,0.19369921,0.09893947,0.044629473,5,4,
13.50027,0.18632203,0.19865836,0.086377725,0.038112525,5,4,
13.533604,0.18421148,0.20267183,0.077518374,0.03520704,5,4,
13.566938,0.18454832,0.20562632,0.07009286,0.034984812,5,6,
13.600272,0.18380246,0.20977598,0.06874314,0.0315386,5,6,
13.633606,0.18499033,0.21400401,0.068721466,0.023323232,5,6,
13.66694,0.18598996,0.2172156,0.06827796,0.013060949,5,6,
13.700274,0.18689221,0.21817559,0.06702789,0.00443428,5,6,
13.733608,0.1866046,0.21320875,0.066502795,0.000287599,5,6,
13.766942,0.18648015,0.19991641,0.06533622,0.000818366,5,4,
13.800276,0.18574873,0.18033683,0.064225286,0.0024555,5,4,
13.83361,0.18533206,0.15958963,0.06219624,0.001226643,5,5,
13.866944,0.18467823,0.14005981,0.058834314,-0.003427419,5,5,
13.900278,0.18449083,0.123146705,0.052606486,-0.010294243,5,5,
13.933612,0.18644811,0.117852524,0.04230724,-0.021975264,5,5,
13.966946,0.18920608,0.12981834,0.028372638,-0.040365845,5,5,
14.00028,0.19362086,0.15204892,0.012225331,-0.068347864,5,5,
14.033614,0.19792838,0.16740178,-0.002655407,-0.09032635,5,5,
14.066948,0.19763757,0.16374682,-0.01232475,-0.10389183,5,5,
14.100282,0.18947348,0.15220667,-0.02729649,-0.13824056,5,5,
14.133616,0.18689083,0.16153996,-0.05864412,-0.17096972,5,5,
14.16695,0.18260643,0.1640862,-0.08108854,-0.19107741,5,4,
14.200284,0.17812954,0.16682875,-0.10381863,-0.1953407,5,4,
14.233618,0.1762805,0.16243352,-0.116195165,-0.21032947,5,4,
14.266952,0.1736575,0.16186011,-0.13316241,-0.22182736,5,4,
14.300286,0.17199686,0.16150352,-0.14691237,-0.23145767,5,4,
14.33362,0.17136478,0.16295835,-0.15869926,-0.23856881,5,4,
14.366954,0.17385583,0.16422953,-0.16774133,-0.24280265,5,4,
14.400288,0.17796996,0.16505884,-0.17394975,-0.24443087,6,4,
14.433622,0.18028778,0.1663208,-0.17895639,-0.24380742,6,4,
14.466956,0.18105353,0.16823368,-0.18278247,-0.24171272,6,4,
14.50029,0.18092154,0.16977341,-0.18560442,-0.23961012,6,4,
14.533624,0.17987308,0.16986655,-0.18703176,-0.23915324,6,4,
14.566958,0.17725655,0.16834779,-0.18620719,-0.2404066,6,4,
14.600292,0.17111842,0.1654202,-0.18188211,-0.24087986,6,4,
14.633626,0.16421813,0.16323675,-0.17336099,-0.23778479,6,4,
14.66696,0.16150817,0.16491507,-0.15024394,-0.22385861,6,4,
14.700294,0.16995777,0.17434323,-0.119414866,-0.19979481,6,4,
14.733628,0.16036183,0.17318088,-0.07557425,-0.16400973,6,4,
14.766962,0.15896903,0.17089474,-0.041575853,-0.13862044,6,4,
14.800296,0.16491859,0.16826716,-0.009828922,-0.10470269,6,4,
14.83363,0.16521844,0.16894007,0.001349255,-0.07437481,6,4,
14.866964,0.17003386,0.1685468,0.026205266,-0.046616796,6,4,
14.900298,0.18578191,0.16659309,0.014834192,-0.008409509,6,4,
14.933632,0.18536215,0.17228855,0.07036222,0.05601696,6,0,
14.966966,0.18485609,0.16962916,0.08655103,0.067673504,6,0,
15.0003,0.18772563,0.17064881,0.094058394,0.07305057,6,4,
15.033634,0.19147043,0.1734997,0.09876808,0.07861785,6,4,
15.066968,0.19572034,0.17385025,0.10008469,0.08750272,6,1,
15.100302,0.19763397,0.17075081,0.101935565,0.096938506,6,1,
15.133636,0.20391703,0.17410415,0.09945617,0.10065685,6,1,
15.16697,0.20595647,0.1733207,0.09806703,0.10690016,6,1,
15.200304,0.2058737,0.17389224,0.08830244,0.10930285,6,9,
15.233638,0.20546179,0.17485727,0.08412862,0.11048665,6,9,
15.266972,0.20919815,0.17823747,0.07340139,0.1065418,6,9,
15.300306,0.21293864,0.16864648,0.06033657,0.099041544,6,9,
