PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
18, 2394150702, -171.50489807128906, -54.990325927734375, 125.5338134765625, -0.052822817, 0.07375212, -0.06877041, 0.7836247682571411, 1.2889761924743652, 0.9328017234802246
19, 2394200703, -171.47882080078125, -54.97450256347656, 125.50714874267578, -0.05559326, 0.062114585, -0.12798786, 0.2974936068058014, 0.04675811156630516, 0.949648380279541
20, 2394250704, -171.4532012939453, -54.93320846557617, 125.46623229980469, -0.042880066, 0.08691111, -0.06742191, 0.1950833797454834, -0.4471529424190521, 1.0902899503707886
21, 2394300705, -171.4119415283203, -54.92402267456055, 125.42314910888672, -0.04476808, 0.078000546, -0.038708687, 0.3866855800151825, 0.20124110579490662, 1.0792274475097656
22, 2394350706, -171.34095764160156, -54.98889923095703, 125.3863754272461, -0.044809207, 0.083112285, -0.043141365, 0.9491662383079529, 1.6685715913772583, 0.879247784614563
23, 2394400707, -171.28077697753906, -55.03086853027344, 125.34256744384766, -0.019392878, 0.06511838, -0.10134983, 0.732222318649292, 1.2167035341262817, 0.9462164044380188
24, 2394450708, -171.22425842285156, -55.06735610961914, 125.29557037353516, -0.068982355, 0.07212752, -0.082365036, 0.629365861415863, 1.1118279695510864, 0.9824540019035339
25, 2394500709, -171.21444702148438, -55.068275451660156, 125.27265167236328, -0.039365772, 0.06359156, -0.064126015, 0.2470579445362091, 0.3497350215911865, 0.7091153264045715
26, 2394550710, -171.25051879882812, -55.04405975341797, 125.28564453125, -0.046440627, 0.025949966, -0.072714806, -0.29808908700942993, -0.18613600730895996, 0.5281530022621155
27, 2394600711, -171.29989624023438, -54.941593170166016, 125.30946350097656, -0.12576762, 0.08897269, -0.18742943, -0.5064783096313477, -1.7390979528427124, 0.7244743704795837
28, 2394650712, -171.33860778808594, -54.86980438232422, 125.32511901855469, -0.037990943, 0.030051876, -0.032683372, -0.34113988280296326, -1.1282267570495605, 0.6634138226509094
29, 2394700713, -171.36561584472656, -54.83261489868164, 125.34932708740234, -0.008275568, 0.039381977, 0.037661552, -0.014834020286798477, -0.45290932059288025, 0.49378079175949097
30, 2394750714, -171.39599609375, -54.804100036621094, 125.36422729492188, -0.061562844, 0.09709459, -0.19830704, -0.1656842678785324, -0.27315086126327515, 0.5251606106758118
31, 2394800715, -171.40264892578125, -54.74104690551758, 125.35652923583984, -0.0747966, 0.0961432, -0.0540514, -0.04955631121993065, -0.9187702536582947, 0.8783726692199707
32, 2394850716, -171.3987579345703, -54.7065544128418, 125.34749603271484, -0.033439774, 0.0172666, 0.0063552856, 0.10239742696285248, -0.34662947058677673, 0.8343272805213928
33, 2394900717, -171.3997039794922, -54.648563385009766, 125.33189392089844, -0.010152182, 0.11906524, -0.059854507, 0.013307931832969189, -0.8125073313713074, 0.8998659253120422
34, 2394950718, -171.42164611816406, -54.62064743041992, 125.33147430419922, -0.04973163, 0.08706076, -0.16977692, -0.10949854552745819, -0.24933961033821106, 0.6003978848457336
35, 2395000719, -171.47140502929688, -54.64073181152344, 125.36698913574219, -0.087642334, 0.116280824, -0.027499199, -0.07631303369998932, 0.6371862888336182, 0.043996211141347885
36, 2395050720, -171.53260803222656, -54.716670989990234, 125.43414306640625, -0.08341704, 0.0907514, 0.03868103, -0.021766526624560356, 1.7143797874450684, -0.31811830401420593
37, 2395100721, -171.6392059326172, -54.799739837646484, 125.52436828613281, -0.054513693, 0.057764575, -0.06803894, -0.4346475303173065, 1.805893898010254, -0.6816991567611694
38, 2395150722, -171.68251037597656, -54.88154220581055, 125.55878448486328, -0.036282636, 0.059583526, -0.05044079, -0.09340952336788177, 1.8760918378829956, -0.02814408764243126
39, 2395200723, -171.71975708007812, -54.940120697021484, 125.56730651855469, -0.042670634, 0.0599388, -0.06942654, -0.2380593866109848, 1.444351315498352, 0.22510574758052826
40, 2395250724, -171.79110717773438, -54.976078033447266, 125.60071563720703, -0.019613262, 0.059520718, -0.09183025, -0.5615497827529907, 0.961310625076294, 0.043569326400756836
41, 2395300725, -171.87567138671875, -54.90389633178711, 125.6357421875, -0.054275874, 0.030180285, -0.07209015, -0.8751049041748047, -1.173296570777893, 0.3851146996021271
42, 2395350726, -171.92172241210938, -54.74919891357422, 125.62081146240234, -0.0023064301, 0.04222942, -0.113713264, -1.0103830099105835, -2.7172350883483887, 1.24665367603302
